zpid,home type,region,value,bed,bath,sqft,address full,address,city,state,zip,status,time on zillow,views,saves,description,type,year built,heating,cooling,parking,hoa,lot,price/sqft,garage spaces,attached garage,stories,major remodel year,monthly cost,school 1,school 2,school 3,lat,lon,api lat,api lon,api link,api zestimate,api zestimate low,api zestimate high,api rent zestimate,api rent zestimate low,api rent zestimate high,date sold,home value,rent value,date available,pets,laundry,deposit & fees,api neighborhood index
27531816,Sold,Sugar Land,109000.0,3.0,2.0,1070.0,"103 Lakeview Dr, Sugar Land, TX 77498",103 Lakeview Dr,Sugar Land,TX,77498,Sold,,,,"103 Lakeview Dr, Sugar Land, TX is a single family home that contains 1,070 sq ft and was built in 1915. It contains 3 bedrooms and 2 bathrooms. This home last sold for $109,000 in September 2017. The Zestimate for this house is $253,904, which has increased by $19,968 in the last 30 days. The Rent Zestimate for this home is $1,600/mo, which has decreased by $34/mo in the last 30 days. More",Single Family,1915.0,Other,Central,2.0,No Data,7361.0,,,,,,,6.0,7.0,6.0,,,29.624671,-95.633493,http://www.zillow.com/homedetails/103-Lakeview-Dr-Sugar-Land-TX-77498/27531816_zpid/,253904,225975,279294,1600,1488,1792,09/20/17,253904.0,,,,,,
27538098,Sold,Sugar Land,231690.0,4.0,3.0,2256.0,"4122 Harwood Dr, Sugar Land, TX 77479",4122 Harwood Dr,Sugar Land,TX,77479,Sold,,,,"4122 Harwood Dr, Sugar Land, TX is a single family home that contains 2,256 sq ft and was built in 1994. It contains 4 bedrooms and 3 bathrooms. This home last sold for $231,690 in September 2017. The Zestimate for this house is $238,349, which has decreased by $610 in the last 30 days. The Rent Zestimate for this home is $1,800/mo, which has decreased by $2/mo in the last 30 days. More",Single Family,1994.0,Other,Central,2.0,101.0,8441.0,,,,,,,10.0,10.0,7.0,,,29.596281,-95.695569,http://www.zillow.com/homedetails/4122-Harwood-Dr-Sugar-Land-TX-77479/27538098_zpid/,239038,215134,265332,1800,1710,1980,09/24/17,238349.0,,,,,,
27538228,Sold,Missouri City,160000.0,4.0,2.0,2088.0,"1122 Barker St, Stafford, TX 77477",1122 Barker St,Stafford,TX,77477,Sold,,,,"1122 Barker St, Stafford, TX is a single family home that contains 2,088 sq ft and was built in 1970. It contains 4 bedrooms and 2 bathrooms. This home last sold for $160,000 in March 2018. The Zestimate for this house is $168,209, which has decreased by $574 in the last 30 days. The Rent Zestimate for this home is $1,600/mo. More",Single Family,1970.0,Other,Central,Off street,No Data,0.47,,,,,,,5.0,3.0,2.0,,,29.596155,-95.559125,http://www.zillow.com/homedetails/1122-Barker-St-Stafford-TX-77477/27538228_zpid/,169011,152110,187602,1600,1456,1744,03/12/18,168209.0,,,,,,
27538234,For Sale,Missouri City,98000.0,3.0,1.0,1344.0,"1125 Bowen St, Stafford, TX 77477",1125 Bowen St,Stafford,TX,77477,For sale,60.0,729.0,11.0,"Handy-man special, investment property with great potential. Located just around the corner from Armstrong Elementary School. Home needs total rehab. Seller will not make any repairs, sold as-is, where-is. Property dimensions, lot size, and room sizes are approximate. Hurry, at this price, this property won't last long!",Single Family,1965.0,None,Wall,No Data,,7244.0,73.0,,,2.0,1965.0,613.0,5.0,3.0,2.0,,,29.59701,-95.558147,http://www.zillow.com/homedetails/1125-Bowen-St-Stafford-TX-77477/27538234_zpid/,95004,90254,99754,1162,918,1697,,,,,,,,
27538524,Sold,Sugar Land,167000.0,3.0,2.0,1421.0,"2302 Squire Dobbins Dr, Sugar Land, TX 77478",2302 Squire Dobbins Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Charming one story, open concept floor plan, recently painted interior (Nov 2013), recently installed energy efficient windows (Oct 2013), Living room with wood burning fireplace, large size backyard with beautiful wood deck great for entertainment. Must show this property to your picky clients !!!!More",Single Family,1983.0,Other,Central,2.0,No Data,8365.0,,,,,,,9.0,8.0,8.0,,,29.656109,-95.610144,http://www.zillow.com/homedetails/2302-Squire-Dobbins-Dr-Sugar-Land-TX-77478/27538524_zpid/,171404,154264,190258,1553,1460,1631,01/31/18,170669.0,,,,,,
27538530,Sold,Sugar Land,211500.0,4.0,2.0,1824.0,"2406 Squire Dobbins Dr, Sugar Land, TX 77478",2406 Squire Dobbins Dr,Sugar Land,TX,77478,Sold,,,,"2406 Squire Dobbins Dr, Sugar Land, TX is a single family home that contains 1,824 sq ft and was built in 1983. It contains 4 bedrooms and 2 bathrooms. This home last sold for $211,500 in February 2018. The Zestimate for this house is $215,768, which has decreased by $758 in the last 30 days. The Rent Zestimate for this home is $1,650/mo, which has increased by $29/mo in the last 30 days. More",Single Family,1983.0,Other,Central,2.0,No Data,7039.0,,,,,,,9.0,8.0,8.0,,,29.657198,-95.610489,http://www.zillow.com/homedetails/2406-Squire-Dobbins-Dr-Sugar-Land-TX-77478/27538530_zpid/,216786,195107,240632,1650,1501,1749,02/20/18,215768.0,,,,,,
27538600,Sold,Sugar Land,145500.0,3.0,2.0,1528.0,"2215 S Ferrisburg Ct, Sugar Land, TX 77478",2215 S Ferrisburg Ct,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.High and dry one story home available for lease. Great location in Barrington Place on quiet cul-de-sac. Walking distance to Barrington Place Elementary in the neighborhood. Perfect for a family, great schools, and close to great shopping, restaurants, parks. and close to Constellation Field. (Home to Sugar Land Skeeters)More",Single Family,1983.0,Forced air,Other,2.0,No Data,6403.0,,,,,,,9.0,8.0,8.0,,,29.655319,-95.609071,http://www.zillow.com/homedetails/2215-S-Ferrisburg-Ct-Sugar-Land-TX-77478/27538600_zpid/,150380,135342,166922,1450,1378,1566,10/02/17,150380.0,,,,,,
27538657,Sold,Sugar Land,220000.0,3.0,3.0,2060.0,"2719 Manorwood St, Sugar Land, TX 77478",2719 Manorwood St,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.the information that is missing the 570 s/f back patio atached to the back of the house, all this patio has floor concrete and shingle roof same as the house, the air conditioning is new, roof is only 3 years old, house is fully fenced, and the interior was remodeled when i bought the house on 02/28/2018 with new floor,carpet,toilets,paint.More",Single Family,1987.0,"Forced air, Other",Central,2.0,350.0,8359.0,,,,,,,9.0,8.0,8.0,,,29.660806,-95.611888,http://www.zillow.com/homedetails/2719-Manorwood-St-Sugar-Land-TX-77478/27538657_zpid/,225402,202862,250196,1719,1633,1839,02/27/18,224317.0,,,,,,
27538713,Sold,Sugar Land,176500.0,3.0,2.0,1413.0,"2322 Pebbledowne Cir, Sugar Land, TX 77478",2322 Pebbledowne Cir,Sugar Land,TX,77478,Sold,,,,"2322 Pebbledowne Cir, Sugar Land, TX is a single family home that contains 1,413 sq ft and was built in 1986. It contains 3 bedrooms and 2 bathrooms. This home last sold for $176,500 in October 2017. The Zestimate for this house is $181,347, which has decreased by $466 in the last 30 days. The Rent Zestimate for this home is $1,500/mo, which has decreased by $21/mo in the last 30 days. More",Single Family,1986.0,Other,Central,2.0,No Data,6599.0,,,,,,,9.0,8.0,8.0,,,29.656698,-95.613059,http://www.zillow.com/homedetails/2322-Pebbledowne-Cir-Sugar-Land-TX-77478/27538713_zpid/,181905,163715,201915,1550,1410,1690,10/30/17,181347.0,,,,,,
27538792,For Rent,Sugar Land,,3.0,2.0,1549.0,"13114 Kingsmill Dr, Sugar Land, TX 77478",13114 Kingsmill Dr,Sugar Land,TX,77478,House for rent,14.0,6.0,,"This recently renovated home is ready for you to enjoy! The kitchen has all recently updated appliances, flooring, etc. The family room has high ceilings and very large for the family and entertaining! This home home has it all and so much more to offer! You need to take a tour today!",Single Family,1984.0,Other,Central,2.0,,,1.0,2.0,,1.0,1984.0,,9.0,8.0,8.0,,,29.654415,-95.612994,http://www.zillow.com/homedetails/13114-Kingsmill-Dr-Sugar-Land-TX-77478/27538792_zpid/,187901,170990,206691,1650,1501,1732,,,1650.0,Contact manager,Contact manager,Contact manager,Contact manager,
27538799,Sold,Sugar Land,175100.0,3.0,2.0,1549.0,"2211 Collingsfield Dr, Sugar Land, TX 77478",2211 Collingsfield Dr,Sugar Land,TX,77478,Sold,,,,Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.House is being sold AS-IS. Absolutely no repairs by seller. Seller has never lived in the house so no seller disclosure will be provided. Great opportunity for your investment property. This is great rental property. Perfect 3/2/2 configuration for an ideal rental property. Retail establishments at a quarter mile distance. Very nice area with great schools. large lot with plenty of shade in the backyard. Needs TLC.More,Single Family,1984.0,Other,Central,2.0,No Data,6599.0,,,,,,,9.0,8.0,8.0,,,29.654589,-95.614382,http://www.zillow.com/homedetails/2211-Collingsfield-Dr-Sugar-Land-TX-77478/27538799_zpid/,178129,162097,195942,1550,1410,1690,08/17/18,177409.0,,,,,,
27538862,Sold,Sugar Land,165000.0,3.0,2.0,1453.0,"2115 Landcircle Ct, Sugar Land, TX 77478",2115 Landcircle Ct,Sugar Land,TX,77478,Sold,,,,"2115 Landcircle Ct, Sugar Land, TX is a single family home that contains 1,453 sq ft and was built in 1985. It contains 3 bedrooms and 2 bathrooms. This home last sold for $165,000 in June 2017. The Zestimate for this house is $167,434, which has decreased by $698 in the last 30 days. The Rent Zestimate for this home is $1,500/mo, which has increased by $3/mo in the last 30 days. MoreWhat I Love About The HomeCompletely remodeled kitchen with granite countertops and all SS appliances.
All new vinyl windows with Energy Star package added.",Single Family,1985.0,Other,Central,2.0,No Data,6708.0,,,,,,,9.0,8.0,8.0,,,29.653853,-95.613467,http://www.zillow.com/homedetails/2115-Landcircle-Ct-Sugar-Land-TX-77478/27538862_zpid/,168339,153188,185173,1550,1410,1627,06/01/17,167434.0,,,,,,
27538943,For Sale,Sugar Land,229990.0,3.0,2.0,1927.0,"13010 Worthington St, Sugar Land, TX 77478",13010 Worthington St,Sugar Land,TX,77478,For sale,264.0,753.0,46.0,"You must see this completely remodeled, beautiful home, with 3 bedrooms and 2 full baths. Kitchen features granite counter tops, all new appliances, tile floor. Recent paint both interior and exterior, new laminate and tile flooring throughout the entire home. Located in a highly desirable established area and has quick access to major freeways!!! Rooms measurements and schools need to verified by the buyer...",Single Family,1984.0,Other,Central,2.0,33.0,6250.0,119.0,2.0,Yes,1.0,1984.0,1508.0,9.0,8.0,8.0,,,29.651958,-95.612135,http://www.zillow.com/homedetails/13010-Worthington-St-Sugar-Land-TX-77478/27538943_zpid/,221252,210189,232315,1700,1598,1819,,,,,,,,
27539050,Sold,Sugar Land,163000.0,2.0,2.0,1528.0,"13006 Careywood Dr, Sugar Land, TX 77478",13006 Careywood Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Spacious 2 bedroom patio home in Barrington Place. Enter into living room with soaring ceiling, fireplace, built-in shelving, and new laminate flooring. Fresh paint inside and out. Kitchen has ample counter space and opens to covered patio. Each bedroom has a large master sized bathroom with double sinks, walk in closet and linen closet. Sky lights provide natural light in both bathrooms. Laundry is located inside. There are storage closets in the garage. Recent roof. Walk to the pocket park.More",Single Family,1986.0,Other,Central,1.0,43.0,5680.0,,,,,,,9.0,8.0,8.0,,,29.649449,-95.611443,http://www.zillow.com/homedetails/13006-Careywood-Dr-Sugar-Land-TX-77478/27539050_zpid/,168396,151556,186920,1500,1410,1590,09/18/17,167931.0,,,,,,
27539055,Sold,Sugar Land,187600.0,3.0,2.0,1727.0,"13106 Careywood Dr, Sugar Land, TX 77478",13106 Careywood Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Estate sale being sold ""as is where is"". Don't miss this gorgeous home in the centrally located community of Barrington Place which has been recently updated with interior paint, laminate wood & ceramic tile flooring throughout and remodeled kitchen and baths. Foyer opens to formal dining room and living room with beamed ceiling, corner gas log fireplace and windows overlooking the side yard with door to covered patio. Beautifully updated kitchen with skylights touts replaced cabinets, quartz counter tops with subway tiled back splash, 4-burner gas range, breakfast/serving bar and tile flooring. Nearby breakfast room could be study or second living area. Master suite includes updated master bath with dual sinks, tub & separate shower. Secondary bedrooms with ceiling fans and large closets offer convenient access to updated second full bath with combination tub/shower. Private & fenced backyard features a covered patio, multiple decks, stone-lined flower beds and storage building.More",Single Family,1986.0,Other,Central,1.0,62.0,5680.0,,,,,,,9.0,8.0,8.0,,,29.649295,-95.612221,http://www.zillow.com/homedetails/13106-Careywood-Dr-Sugar-Land-TX-77478/27539055_zpid/,188331,171381,207164,1500,1425,1665,09/20/19,187858.0,,,,,,
27539073,Sold,Sugar Land,238500.0,4.0,3.0,1873.0,"13019 Careywood Dr, Sugar Land, TX 77478",13019 Careywood Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Split level floor plan, High 2nd floor ceilings, granite counter tops, stainless steel appliances, hard wood floors, gas wood burning tiled fireplace, Master bedroom has own private bathroom with separate shower and tub, game room could be used as a 4th bedroom, private patio and pool with separate pool house, two car garageMore",Single Family,1988.0,Other,Central,2.0,43.0,6098.0,,,,,,,9.0,8.0,8.0,,,29.648921,-95.611787,http://www.zillow.com/homedetails/13019-Careywood-Dr-Sugar-Land-TX-77478/27539073_zpid/,242776,220926,267054,1750,1610,1890,07/30/18,241662.0,,,,,,
27539077,Sold,Sugar Land,225000.0,3.0,3.0,1776.0,"13003 Careywood Dr, Sugar Land, TX 77478",13003 Careywood Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.UPDATED! New engineered hardwoods upstairs. Hi efficiency double paned-low E windows. Recent A/C, electrical panel & full gutters. Den-Stone gaslog f/p & crown molding. Kitchen- granite, SS appliances & rich cabinets. Ceiling fans, light fixtures & 2'' blinds. Roof 10yrs old. Sitting area across from breakfast bar. Spacious master with newly remodeled master bath. Tons of storage! Enjoy a tranquil, pool size backyard w/mature trees & extended covered patio. No back neighbors. Lovely home waiting for you!More",Single Family,1989.0,Other,Central,2.0,43.0,5998.0,,,,,,,9.0,8.0,8.0,,,29.649045,-95.611166,http://www.zillow.com/homedetails/13003-Careywood-Dr-Sugar-Land-TX-77478/27539077_zpid/,228529,207961,251382,1700,1564,1836,10/12/18,227937.0,,,,,,
27539079,For Sale,Sugar Land,235000.0,3.0,3.0,1934.0,"12923 Careywood Dr, Sugar Land, TX 77478",12923 Careywood Dr,Sugar Land,TX,77478,For sale,10.0,715.0,58.0,"Introducing a lovely 2-story home in the established community of Barrington Place. This home is complete with 3 bedrooms, 2 1/2 bathrooms and a 2-car attached garage. Enjoy a spacious formal living and dining room which opens to the Chef's kitchen, featuring elegant granite countertops, subway tile backsplash and gas cooking. The family boasts a wood-burning fireplace and access to the backyard. Beautiful laminate floors and great natural light flow throughout the main living areas. All 3 bedrooms are upstairs, including a grand Master Suite with a walk-in closet and en-suite bath; boasting his and her sinks, an over-sized soaking tub and separate standing shower. Step outside to a a one-of-a-kind custom deck, pergola and green space for you to make your own. Barrington Place is located near major highways, great local shopping, dining and entertainment. Zoned to Fort Bend ISD schools.",Single Family,1989.0,Other,Central,2.0,37.0,6856.0,122.0,2.0,Yes,2.0,1989.0,1544.0,9.0,8.0,8.0,,,29.649117,-95.61081,http://www.zillow.com/homedetails/12923-Careywood-Dr-Sugar-Land-TX-77478/27539079_zpid/,226598,215268,237928,1650,1501,1799,,,,,,,,
27539231,Sold,Sugar Land,202000.0,4.0,2.0,2057.0,"13203 Rosstown Dr, Sugar Land, TX 77478",13203 Rosstown Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Great investor opportunity for this one-story home situated on a corner lot with open & flowing floor plan that just needs a little TLC and is being sold as-is. Features include living room with vaulted ceiling, wood-burning fireplace & opens to formal dining. Den leads to breakfast room & island kitchen with wood cabinets, gas range & tile floors. Private master suite & bath has dual sinks, tub/shower combo & walk-in closet. Secondary bedrooms w/nearby full bath. Large fenced backyard w/patio.More",Single Family,1989.0,Other,Central,2.0,No Data,8807.0,,,,,,,9.0,8.0,8.0,,,29.655469,-95.614351,http://www.zillow.com/homedetails/13203-Rosstown-Dr-Sugar-Land-TX-77478/27539231_zpid/,209359,188423,232388,1660,1560,1793,07/13/17,208727.0,,,,,,
27539293,For Sale,Sugar Land,218500.0,3.0,2.0,1849.0,"13411 Brittany Dr, Sugar Land, TX 77478",13411 Brittany Dr,Sugar Land,TX,77478,For sale,72.0,934.0,11.0,Stylish and well maintained 3 bedroom home in a desirable community of Barrington place! Spacious floorpan with an open kitchen and living area! Perfect for entertaining! Perfect lot size with plenty of back yard space! Tile floors and modern paint colors throughout the house. Master is spacious and the bathroom is complete with a stand up shower and garden bath tub. Conveniently located to major highways and local retail. Excellent school district! Don't miss out!,Single Family,1990.0,Other,Central,2.0,,7074.0,118.0,2.0,Yes,1.0,1990.0,1402.0,9.0,8.0,8.0,,,29.654856,-95.618164,http://www.zillow.com/homedetails/13411-Brittany-Dr-Sugar-Land-TX-77478/27539293_zpid/,212355,201737,222973,1600,1504,1744,,,,,,,,
27539296,For Sale,Sugar Land,219000.0,4.0,3.0,2312.0,"2303 Parkhaven Dr, Sugar Land, TX 77478",2303 Parkhaven Dr,Sugar Land,TX,77478,For sale,14.0,2038.0,73.0,"Selling AS IS, Home needs some TLC paint and flooring, Priced accordingly below market. Beautiful 2 Story home featuring 2 living areas, Open Kitchen with Granite, Corner Lot giving You a Big backyard. Master with 2 sinks, separate shower and a Walk in Closet. Great location Close to Sugarland Mall, Major shopping areas. Home has a transferrable lifetime foundation warranty. Roof is only two years old. The current A.C is less than two years.",Single Family,1992.0,Other,Central,2.0,345.0,9069.0,95.0,2.0,Yes,2.0,1992.0,1750.0,9.0,8.0,8.0,,,29.654993,-95.61876,http://www.zillow.com/homedetails/2303-Parkhaven-Dr-Sugar-Land-TX-77478/27539296_zpid/,213193,202533,223853,1750,1663,1890,,,,,,,,
