zpid,home type,region,value,bed,bath,sqft,address full,address,city,state,zip,status,time on zillow,views,saves,description,type,year built,heating,cooling,parking,hoa,lot,price/sqft,garage spaces,attached garage,stories,major remodel year,monthly cost,school 1,school 2,school 3,lat,lon,api lat,api lon,api link,api zestimate,api zestimate low,api zestimate high,api rent zestimate,api rent zestimate low,api rent zestimate high,date sold,home value,rent value,date available,pets,laundry,deposit & fees,api neighborhood index,rent estimate,closing cost,prop tax,total project cost,down payment,loan amount,monthly p&i,total cash needed,vacancy expense,repair expense,capex expense,management expense,hoa expense,monthly expenses,monthly cashflow,cash on cash roi
27531816,Sold,Sugar Land,109000.0,3.0,2.0,1070.0,"103 Lakeview Dr, Sugar Land, TX 77498",103 Lakeview Dr,Sugar Land,TX,77498,Sold,,,,"103 Lakeview Dr, Sugar Land, TX is a single family home that contains 1,070 sq ft and was built in 1915. It contains 3 bedrooms and 2 bathrooms. This home last sold for $109,000 in September 2017. The Zestimate for this house is $253,904, which has increased by $19,968 in the last 30 days. The Rent Zestimate for this home is $1,600/mo, which has decreased by $34/mo in the last 30 days. More",Single Family,1915.0,Other,Central,2.0,No Data,7361.0,,,,,,,6.0,7.0,6.0,,,29.624671000000003,-95.633493,http://www.zillow.com/homedetails/103-Lakeview-Dr-Sugar-Land-TX-77498/27531816_zpid/,253904.0,225975.0,279294.0,1600.0,1488.0,1792.0,09/20/17,253904.0,,,,,,,1600.0,8886.64,5585.888000000001,264790.64,63476.0,190428.0,936.7912957848249,72362.64,80.0,80.0,80.0,128.0,60.0,2030.2819624514918,-430.28196245149184,-7.135427272164065
27538098,Sold,Sugar Land,231690.0,4.0,3.0,2256.0,"4122 Harwood Dr, Sugar Land, TX 77479",4122 Harwood Dr,Sugar Land,TX,77479,Sold,,,,"4122 Harwood Dr, Sugar Land, TX is a single family home that contains 2,256 sq ft and was built in 1994. It contains 4 bedrooms and 3 bathrooms. This home last sold for $231,690 in September 2017. The Zestimate for this house is $238,349, which has decreased by $610 in the last 30 days. The Rent Zestimate for this home is $1,800/mo, which has decreased by $2/mo in the last 30 days. More",Single Family,1994.0,Other,Central,2.0,101.0,8441.0,,,,,,,10.0,10.0,7.0,,,29.596281,-95.69556899999999,http://www.zillow.com/homedetails/4122-Harwood-Dr-Sugar-Land-TX-77479/27538098_zpid/,239038.0,215134.0,265332.0,1800.0,1710.0,1980.0,09/24/17,238349.0,,,,,,,1800.0,8366.33,5258.836000000001,249404.33,59759.5,179278.5,881.9424576289185,68125.83,90.0,90.0,90.0,144.0,101.0,2035.1787909622522,-235.17879096225215,-4.1425484159929145
27538228,Sold,Missouri City,160000.0,4.0,2.0,2088.0,"1122 Barker St, Stafford, TX 77477",1122 Barker St,Stafford,TX,77477,Sold,,,,"1122 Barker St, Stafford, TX is a single family home that contains 2,088 sq ft and was built in 1970. It contains 4 bedrooms and 2 bathrooms. This home last sold for $160,000 in March 2018. The Zestimate for this house is $168,209, which has decreased by $574 in the last 30 days. The Rent Zestimate for this home is $1,600/mo. More",Single Family,1970.0,Other,Central,Off street,No Data,0.47,,,,,,,5.0,3.0,2.0,,,29.596155,-95.559125,http://www.zillow.com/homedetails/1122-Barker-St-Stafford-TX-77477/27538228_zpid/,169011.0,152110.0,187602.0,1600.0,1456.0,1744.0,03/12/18,168209.0,,,,,,,1600.0,5915.385,3718.242,176926.385,42252.75,126758.25,623.5743969842501,48168.135,80.0,80.0,80.0,128.0,60.0,1561.42789698425,38.57210301574992,0.9609365946782017
27538234,For Sale,Missouri City,98000.0,3.0,1.0,1344.0,"1125 Bowen St, Stafford, TX 77477",1125 Bowen St,Stafford,TX,77477,For sale,60.0,729.0,11.0,"Handy-man special, investment property with great potential. Located just around the corner from Armstrong Elementary School. Home needs total rehab. Seller will not make any repairs, sold as-is, where-is. Property dimensions, lot size, and room sizes are approximate. Hurry, at this price, this property won't last long!",Single Family,1965.0,None,Wall,No Data,,7244.0,73.0,,,2.0,1965.0,613.0,5.0,3.0,2.0,,,29.597009999999997,-95.55814699999999,http://www.zillow.com/homedetails/1125-Bowen-St-Stafford-TX-77477/27538234_zpid/,95004.0,90254.0,99754.0,1162.0,918.0,1697.0,,,,,,,,,1162.0,3325.14,2090.088,100329.14,23751.0,71253.0,350.52193059085914,27076.14,58.1,58.1,58.1,92.96,,,,
27538524,Sold,Sugar Land,167000.0,3.0,2.0,1421.0,"2302 Squire Dobbins Dr, Sugar Land, TX 77478",2302 Squire Dobbins Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Charming one story, open concept floor plan, recently painted interior (Nov 2013), recently installed energy efficient windows (Oct 2013), Living room with wood burning fireplace, large size backyard with beautiful wood deck great for entertainment. Must show this property to your picky clients !!!!More",Single Family,1983.0,Other,Central,2.0,No Data,8365.0,,,,,,,9.0,8.0,8.0,,,29.656109000000004,-95.61014399999999,http://www.zillow.com/homedetails/2302-Squire-Dobbins-Dr-Sugar-Land-TX-77478/27538524_zpid/,171404.0,154264.0,190258.0,1553.0,1460.0,1631.0,01/31/18,170669.0,,,,,,,1553.0,5999.14,3770.8880000000004,179403.14,42851.0,128553.0,632.403488179399,48850.14,77.65,77.65,77.65,124.24,60.0,1563.8341548460658,-10.834154846065758,-0.266140195612109
27538530,Sold,Sugar Land,211500.0,4.0,2.0,1824.0,"2406 Squire Dobbins Dr, Sugar Land, TX 77478",2406 Squire Dobbins Dr,Sugar Land,TX,77478,Sold,,,,"2406 Squire Dobbins Dr, Sugar Land, TX is a single family home that contains 1,824 sq ft and was built in 1983. It contains 4 bedrooms and 2 bathrooms. This home last sold for $211,500 in February 2018. The Zestimate for this house is $215,768, which has decreased by $758 in the last 30 days. The Rent Zestimate for this home is $1,650/mo, which has increased by $29/mo in the last 30 days. More",Single Family,1983.0,Other,Central,2.0,No Data,7039.0,,,,,,,9.0,8.0,8.0,,,29.657197999999998,-95.610489,http://www.zillow.com/homedetails/2406-Squire-Dobbins-Dr-Sugar-Land-TX-77478/27538530_zpid/,216786.0,195107.0,240632.0,1650.0,1501.0,1749.0,02/20/18,215768.0,,,,,,,1650.0,7587.51,4769.292,226373.51,54196.5,162589.5,799.8426092066649,61784.01,82.5,82.5,82.5,132.0,60.0,1836.783609206665,-186.783609206665,-3.6278048486655043
27538600,Sold,Sugar Land,145500.0,3.0,2.0,1528.0,"2215 S Ferrisburg Ct, Sugar Land, TX 77478",2215 S Ferrisburg Ct,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.High and dry one story home available for lease. Great location in Barrington Place on quiet cul-de-sac. Walking distance to Barrington Place Elementary in the neighborhood. Perfect for a family, great schools, and close to great shopping, restaurants, parks. and close to Constellation Field. (Home to Sugar Land Skeeters)More",Single Family,1983.0,Forced air,Other,2.0,No Data,6403.0,,,,,,,9.0,8.0,8.0,,,29.655319,-95.609071,http://www.zillow.com/homedetails/2215-S-Ferrisburg-Ct-Sugar-Land-TX-77478/27538600_zpid/,150380.0,135342.0,166922.0,1450.0,1378.0,1566.0,10/02/17,150380.0,,,,,,,1450.0,5263.3,3308.36,157643.3,37595.0,112785.0,554.8344061539872,42858.3,72.5,72.5,72.5,116.0,60.0,1424.031072820654,25.96892717934611,0.7271103290428069
27538657,Sold,Sugar Land,220000.0,3.0,3.0,2060.0,"2719 Manorwood St, Sugar Land, TX 77478",2719 Manorwood St,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.the information that is missing the 570 s/f back patio atached to the back of the house, all this patio has floor concrete and shingle roof same as the house, the air conditioning is new, roof is only 3 years old, house is fully fenced, and the interior was remodeled when i bought the house on 02/28/2018 with new floor,carpet,toilets,paint.More",Single Family,1987.0,"Forced air, Other",Central,2.0,350.0,8359.0,,,,,,,9.0,8.0,8.0,,,29.660806,-95.61188800000001,http://www.zillow.com/homedetails/2719-Manorwood-St-Sugar-Land-TX-77478/27538657_zpid/,225402.0,202862.0,250196.0,1719.0,1633.0,1839.0,02/27/18,224317.0,,,,,,,1719.0,7889.07,4958.844,235291.07,56350.5,169051.5,831.6317649682206,64239.57,85.95,85.95,85.95,137.52,29.166666666666668,1869.4054316348875,-150.40543163488746,-2.8095847771375952
27538713,Sold,Sugar Land,176500.0,3.0,2.0,1413.0,"2322 Pebbledowne Cir, Sugar Land, TX 77478",2322 Pebbledowne Cir,Sugar Land,TX,77478,Sold,,,,"2322 Pebbledowne Cir, Sugar Land, TX is a single family home that contains 1,413 sq ft and was built in 1986. It contains 3 bedrooms and 2 bathrooms. This home last sold for $176,500 in October 2017. The Zestimate for this house is $181,347, which has decreased by $466 in the last 30 days. The Rent Zestimate for this home is $1,500/mo, which has decreased by $21/mo in the last 30 days. More",Single Family,1986.0,Other,Central,2.0,No Data,6599.0,,,,,,,9.0,8.0,8.0,,,29.656698,-95.61305899999999,http://www.zillow.com/homedetails/2322-Pebbledowne-Cir-Sugar-Land-TX-77478/27538713_zpid/,181905.0,163715.0,201915.0,1550.0,1410.0,1690.0,10/30/17,181347.0,,,,,,,1550.0,6366.675,4001.9100000000008,190271.675,45476.25,136428.75,671.1474441510909,51842.925,77.5,77.5,77.5,124.0,60.0,1621.139944151091,-71.13994415109096,-1.646665055671707
27538792,For Rent,Sugar Land,,3.0,2.0,1549.0,"13114 Kingsmill Dr, Sugar Land, TX 77478",13114 Kingsmill Dr,Sugar Land,TX,77478,House for rent,14.0,6.0,,"This recently renovated home is ready for you to enjoy! The kitchen has all recently updated appliances, flooring, etc. The family room has high ceilings and very large for the family and entertaining! This home home has it all and so much more to offer! You need to take a tour today!",Single Family,1984.0,Other,Central,2.0,,,1.0,2.0,,1.0,1984.0,,9.0,8.0,8.0,,,29.654415000000004,-95.612994,http://www.zillow.com/homedetails/13114-Kingsmill-Dr-Sugar-Land-TX-77478/27538792_zpid/,187901.0,170990.0,206691.0,1650.0,1501.0,1732.0,,,1650.0,Contact manager,Contact manager,Contact manager,Contact manager,,1650.0,6576.535,4133.822,196477.535,46975.25,140925.75,693.2699810529349,53551.785,82.5,82.5,82.5,132.0,,,,
27538799,Sold,Sugar Land,175100.0,3.0,2.0,1549.0,"2211 Collingsfield Dr, Sugar Land, TX 77478",2211 Collingsfield Dr,Sugar Land,TX,77478,Sold,,,,Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.House is being sold AS-IS. Absolutely no repairs by seller. Seller has never lived in the house so no seller disclosure will be provided. Great opportunity for your investment property. This is great rental property. Perfect 3/2/2 configuration for an ideal rental property. Retail establishments at a quarter mile distance. Very nice area with great schools. large lot with plenty of shade in the backyard. Needs TLC.More,Single Family,1984.0,Other,Central,2.0,No Data,6599.0,,,,,,,9.0,8.0,8.0,,,29.654589,-95.61438199999999,http://www.zillow.com/homedetails/2211-Collingsfield-Dr-Sugar-Land-TX-77478/27538799_zpid/,178129.0,162097.0,195942.0,1550.0,1410.0,1690.0,08/17/18,177409.0,,,,,,,1550.0,6234.515,3918.8380000000006,186363.515,44532.25,133596.75,657.2157064357201,50766.765,77.5,77.5,77.5,124.0,60.0,1600.2855397690537,-50.285539769053685,-1.1886250329888939
27538862,Sold,Sugar Land,165000.0,3.0,2.0,1453.0,"2115 Landcircle Ct, Sugar Land, TX 77478",2115 Landcircle Ct,Sugar Land,TX,77478,Sold,,,,"2115 Landcircle Ct, Sugar Land, TX is a single family home that contains 1,453 sq ft and was built in 1985. It contains 3 bedrooms and 2 bathrooms. This home last sold for $165,000 in June 2017. The Zestimate for this house is $167,434, which has decreased by $698 in the last 30 days. The Rent Zestimate for this home is $1,500/mo, which has increased by $3/mo in the last 30 days. MoreWhat I Love About The HomeCompletely remodeled kitchen with granite countertops and all SS appliances.
All new vinyl windows with Energy Star package added.",Single Family,1985.0,Other,Central,2.0,No Data,6708.0,,,,,,,9.0,8.0,8.0,,,29.653853,-95.613467,http://www.zillow.com/homedetails/2115-Landcircle-Ct-Sugar-Land-TX-77478/27538862_zpid/,168339.0,153188.0,185173.0,1550.0,1410.0,1627.0,06/01/17,167434.0,,,,,,,1550.0,5891.865,3703.4580000000005,176230.865,42084.75,126254.25,621.0950199332095,47976.615,77.5,77.5,77.5,124.0,60.0,1546.2165199332094,3.7834800667906165,0.09463310573596616
27538943,For Sale,Sugar Land,229990.0,3.0,2.0,1927.0,"13010 Worthington St, Sugar Land, TX 77478",13010 Worthington St,Sugar Land,TX,77478,For sale,264.0,753.0,46.0,"You must see this completely remodeled, beautiful home, with 3 bedrooms and 2 full baths. Kitchen features granite counter tops, all new appliances, tile floor. Recent paint both interior and exterior, new laminate and tile flooring throughout the entire home. Located in a highly desirable established area and has quick access to major freeways!!! Rooms measurements and schools need to verified by the buyer...",Single Family,1984.0,Other,Central,2.0,33.0,6250.0,119.0,2.0,Yes,1.0,1984.0,1508.0,9.0,8.0,8.0,,,29.651958,-95.612135,http://www.zillow.com/homedetails/13010-Worthington-St-Sugar-Land-TX-77478/27538943_zpid/,221252.0,210189.0,232315.0,1700.0,1598.0,1819.0,,,,,,,,,1700.0,7743.82,4867.544,230995.82,55313.0,165939.0,816.3201358583718,63056.82,85.0,85.0,85.0,136.0,33.0,1845.9488025250384,-145.94880252503845,-2.7774721755719067
27539050,Sold,Sugar Land,163000.0,2.0,2.0,1528.0,"13006 Careywood Dr, Sugar Land, TX 77478",13006 Careywood Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Spacious 2 bedroom patio home in Barrington Place. Enter into living room with soaring ceiling, fireplace, built-in shelving, and new laminate flooring. Fresh paint inside and out. Kitchen has ample counter space and opens to covered patio. Each bedroom has a large master sized bathroom with double sinks, walk in closet and linen closet. Sky lights provide natural light in both bathrooms. Laundry is located inside. There are storage closets in the garage. Recent roof. Walk to the pocket park.More",Single Family,1986.0,Other,Central,1.0,43.0,5680.0,,,,,,,9.0,8.0,8.0,,,29.649449,-95.61144300000001,http://www.zillow.com/homedetails/13006-Careywood-Dr-Sugar-Land-TX-77478/27539050_zpid/,168396.0,151556.0,186920.0,1500.0,1410.0,1590.0,09/18/17,167931.0,,,,,,,1500.0,5893.86,3704.712,176289.86,42099.0,126297.0,621.305324236646,47992.86,75.0,75.0,75.0,120.0,43.0,1518.031324236646,-18.031324236646014,-0.4508501698789198
27539055,Sold,Sugar Land,187600.0,3.0,2.0,1727.0,"13106 Careywood Dr, Sugar Land, TX 77478",13106 Careywood Dr,Sugar Land,TX,77478,Sold,,,,"Note: This property is not currently for sale or for rent on Zillow. The description below may be from a previous listing.Estate sale being sold ""as is where is"". Don't miss this gorgeous home in the centrally located community of Barrington Place which has been recently updated with interior paint, laminate wood & ceramic tile flooring throughout and remodeled kitchen and baths. Foyer opens to formal dining room and living room with beamed ceiling, corner gas log fireplace and windows overlooking the side yard with door to covered patio. Beautifully updated kitchen with skylights touts replaced cabinets, quartz counter tops with subway tiled back splash, 4-burner gas range, breakfast/serving bar and tile flooring. Nearby breakfast room could be study or second living area. Master suite includes updated master bath with dual sinks, tub & separate shower. Secondary bedrooms with ceiling fans and large closets offer convenient access to updated second full bath with combination tub/shower. Private & fenced backyard features a covered patio, multiple decks, stone-lined flower beds and storage building.More",Single Family,1986.0,Other,Central,1.0,62.0,5680.0,,,,,,,9.0,8.0,8.0,,,29.649295000000002,-95.61222099999999,http://www.zillow.com/homedetails/13106-Careywood-Dr-Sugar-Land-TX-77478/27539055_zpid/,188331.0,171381.0,207164.0,1500.0,1425.0,1665.0,09/20/19,187858.0,,,,,,,1500.0,6591.585,4143.282,196922.585,47082.75,141248.25,694.8564872016661,53674.335,75.0,75.0,75.0,120.0,62.0,1647.1299872016662,-147.12998720166615,-3.2893930524150767
